"","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"FMR1",8.58126763134132,7.28316117715011,7.76512475787162,6.72343952910503,7.28675628033754,8.75006506967627,7.00240362813574,8.44700281533554,8.48143920474326,7.5676741881364,7.70479734984635,7.81484977235742,7.37203698116979,8.87051446759446,7.86157633741547,7.01048446755414,7.04258840971708,7.85392301052981,7.5459003483336,8.64802647882501,8.97595923397962,7.15011958867458
"HTATSF1",8.56578615884271,8.33239732028558,8.53929974945707,8.24074929918569,8.86783187096668,8.5300199724052,8.84927702555552,8.95206926151886,8.53372081564492,8.49914026220435,7.61449877756775,8.39757978555537,9.25947599549885,8.71551397291331,7.63036190506653,8.14555661816137,8.06871214972668,8.2670807977997,8.64802647882501,8.41540603201141,8.4302424130471,8.6501272585879
"RBM3",7.19890320650477,6.76713733939997,9.3806130542404,6.81269234679474,8.46751386165767,6.85775789946067,5.50949274720966,6.26965313129721,6.88086683581129,7.33652243598137,7.11583457505554,6.65559469972433,6.6182125975297,7.09893540726372,7.35283929631647,7.01950627545935,7.3933911427072,7.02309376379361,7.14189067258851,6.59137921309692,7.90993754403558,7.82851820489097
"ESRP2",6.71704875637243,4.87025684497359,5.46167005634017,5.28723992138329,6.24630468066485,6.50339576528745,6.96517500555517,6.99432671459865,7.84606667902871,5.22373468996601,5.39647062312989,6.91185503260061,5.48616728509791,7.05501501870446,6.0048337762175,5.14385865829942,5.45943814695053,5.63966170952506,6.26278294818325,5.85134581904768,6.7595286740665,3.91126040564991
"MTHFSD",3.59398134483043,3.57195901606464,3.08316259976642,4.33226952690038,3.16219183271345,4.64198447463514,4.02983417432436,3.84025696380615,4.29856490844919,3.95918662857742,3.54601004982575,3.71528743561905,3.82455071154717,4.0773502792945,3.29921634278188,3.47108940025371,3.93057140402054,3.36078042988119,3.58285834518323,3.72169816263961,3.77030297082543,3.69703140185574
"DNAJC17",4.32675535495259,5.18138367030445,4.0769579261545,4.61048537530376,3.89374550280664,4.62296656092855,4.89733387910493,4.3573912226978,4.32346631383425,4.6095008080244,4.65170328971988,3.59973703506491,4.60241590295558,4.95733328331759,5.20752337317968,4.63963035105765,4.88578385645232,5.04544854371163,4.11303703031974,4.28216263379894,3.64709475048439,4.70373844658497
"MYEF2",7.35344891242895,6.76669184116171,7.24671372483252,6.98883377962787,7.02816577267712,7.5416751462748,6.43697297880158,6.83166278370011,7.15629970184145,4.91358144790189,6.1127939627914,5.61430282476613,5.15812319925881,6.82676969130101,4.70574355052419,4.99589631466946,6.85963158257467,7.7015710350897,6.8704230612627,6.22672915206878,7.02665294523217,3.90347495290658
"ESRP1",8.75713698279469,7.67749629395941,7.09789428105844,1.97862190947817,8.06088541773739,7.89581031240687,6.0295412251447,8.62114600073919,8.25452099057464,4.35382950432701,9.24288258705284,8.06871214972668,7.15573363666275,8.25452099057464,7.84062391937543,7.38434348155509,7.53059428185741,7.62010245215649,8.25590870261846,7.35213533643851,8.8259753045377,4.18194762465849
"HNRNPL",6.76088764055354,7.0139520919862,6.87427187601955,6.77482317157303,6.67086995896715,6.56824162112701,7.09275586190579,7.29398785687095,6.72730381419647,6.77527025140669,6.73767414760997,6.67216053881626,7.18923804439017,6.67420147860441,6.4779057593097,6.83810075389118,7.35087043116182,7.09631938805703,6.96131330311149,6.94636719632,6.90227823910559,6.64876844412333
"SNRNP70",7.55330333544085,7.20527134766667,7.06703623531047,7.67265661424333,6.32296622977066,7.58758771199677,6.69631099435947,7.72578195204836,7.06187824134299,7.82402957576284,6.46956697861307,7.30824865036952,7.30464554641376,6.56457356312302,7.49643281886325,6.97990293237198,7.01540991123909,7.30097716735354,6.99136267798909,7.05713519122541,6.55246287903054,7.74489664823683
"CLASRP",6.33486489587432,5.40236726471123,5.82401174093331,6.26893274821262,7.97337173446276,6.39211290283046,6.50035432565445,6.27918843516932,6.06775880025369,6.45595190290642,6.13514052244843,7.00542332752103,6.31971922892721,5.79284662567286,5.78765550748574,5.25611261877677,5.47639538954089,5.62383928387959,6.1918392352736,5.53280285266759,5.72339497409781,6.39518994483248
"TRMT1",6.10120131947159,5.52236473400271,5.90031592305505,7.5042359043988,5.37495656861819,5.50038418561891,5.48398716863831,4.67550013388826,4.65744302814912,5.78965227896944,5.01026560848947,5.22275605180167,4.04699666875121,6.04759895378972,5.72807153668788,6.21073047760679,5.87415839966901,4.85281018439569,6.53897731144611,4.91585650469169,5.33596818429364,6.01957793537187
"NOVA2",-0.00694035795199444,2.57780882122888,2.3832682562507,-0.546767789022151,4.53113300229228,1.33394015789052,-0.535675158426062,1.46005379757312,1.53735560550758,1.7078615590003,2.06008050761987,1.63642656689131,1.84314079946151,1.42557598560295,0.0166426902282097,0.501116521768415,1.43589121254324,-0.800017185975006,0.397636289679193,1.11434249781271,0.408324552018252,2.96347924042335
"SUGP1",5.37154868613461,5.09911014551737,5.13792240398097,6.07860060908748,4.39604623271683,6.37826092152139,5.88005332686127,5.93785957276565,5.06367861780659,5.90821892235019,5.19903982907342,6.13645669118442,5.85866272950786,6.38129204593576,5.40370446400409,5.97976946312077,5.64186315294681,5.49124085460718,5.32796621087823,5.1107760591783,5.22874772857889,5.64061593801162
