"Rownames","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"COL28A1",1.08108307256673,2.56969573505851,-0.163581603365158,3.69092506606786,3.48474116737119,4.11032274799355,4.09434050653842,2.18585501661243,1.96958885428021,0.00626953388674778,0.320000155554813,0.162398177939017,0.375113931936994,1.8041993823057,0.944172762974725,1.05086249838605,0.183257712787211,-0.124673455248072,0.435614124411436,0.413461124542231,1.86013190799458,0.902324982473665
"SKAP2",3.82081292630419,4.44230834999745,3.4267107256853,0.920685250323203,2.19114381564294,3.79229365178318,2.33672128169761,4.61258330679544,3.9162797962614,5.21643649962551,5.33567677807936,3.98386577428257,5.13948259502556,4.37274395714766,5.43295533742481,6.00115865913965,4.14998336195102,6.45747677095119,3.69262463314829,6.02919853930524,5.88794250828341,5.09439102844796
"SLC9C2",5.24000880719255,1.34798858334878,4.364892076377,4.19869126629368,3.31937830013741,4.04781022799751,3.10152779601154,0.90614650104191,0.966678823904575,0.143300195637152,0.904104014771684,2.21353362188937,2.00695704766342,0.367234405672707,0.686600897754291,0.798155380046712,0.369950303109058,1.60040649575619,2.15590201317246,-0.476448696777767,-0.415399984184829,-0.0310160522965246
"HMGA2-AS1",3.42322754211291,3.49117868032793,3.75069281489313,3.67432898389568,5.32040321146788,2.77606288996677,4.20575060210443,2.99732880773453,4.03446597589053,0.651262040982967,1.55308956149091,1.38594675595416,1.56653790353484,-0.224737928843637,0.481882648481527,0.539071260811696,3.65297931554896,1.65607941738741,3.12083542679404,-1.7641738329556,4.23517389809832,0.733236561645406
"TNNC2",2.62348270232974,2.27357635610489,2.2916120538377,2.15329014906412,3.39213363379954,3.13301731764681,2.83556126211854,2.51365120019149,1.86723510595216,1.52899395640332,1.73472727044726,-0.481577635961481,2.80614420643634,1.15812788894682,0.922373800033236,0.564936213006599,1.16900229785364,1.4869355164846,1.80853847897042,-1.21342871611815,1.12204104135363,0.317459821611184
"AFAP1L2",5.07094247735955,5.97293351409089,4.87477124916055,7.60359664515221,5.17593982947886,5.48398716863831,5.54130800740097,7.14297044693499,6.87572504360961,4.6199743643613,4.2332655510354,4.71277152965884,5.62609968632,4.43459279807473,3.68549303390377,4.46253554740579,5.11549775012417,3.26047200143396,3.63655088340104,4.273651557121,3.22943981993053,5.5726139562309
"FBXL8",0.958161187621714,1.9872526816241,2.04346412037197,1.34937607501641,0.846828974150242,1.5677528468683,-0.450202525859159,1.04912576086672,2.96221594333737,3.2636330272457,2.38087199777729,3.12321939634082,1.63766020436422,3.94933359423662,4.32201651213833,2.46079338673441,2.69441921467181,2.80211895310803,3.17995249974434,2.60022377803079,1.94521310969165,2.99245542395361
"RNF212B",1.3820256011123,1.373980752154,1.88774238547203,2.21607155217644,1.95709164728071,3.34022422426333,1.20726071104435,3.06061879943324,2.30187818982101,-0.291939688446593,0.927929604650606,2.30023679929737,0.300875916137633,0.721040223087185,0.889696692629951,-1.64398148680464,0.661774377213558,0.893450478048353,1.20424400908482,0.100720787515642,-1.30607619613504,0.663815606045691
"RGS22",5.1227438813552,4.89446240286245,4.32201651213833,5.10384986384119,3.34697113567525,3.53576614235664,2.12080698972887,2.68410476197996,3.1393859383923,2.38568645693102,2.20499252339237,0.997357059326258,1.81505093996499,0.747325896343624,3.23914685161586,1.94521310969165,2.54527138236005,0.815165324520954,1.30838541327274,3.28582372273029,3.02645024017426,2.56533862414921
"ALB",0.755787259324689,2.31524855308428,0.672366303102802,2.33097129200103,2.10235320430288,0.18976323642917,0.213552890514806,0.688707475321142,0.971748275569829,-0.752952127879659,-1.93383884862728,0.645171466974358,0.723015699327719,-1.09969101333732,0.846828974150242,-1.85782167677334,-1.33081442093857,0.0481175123174093,-0.94474460973065,-0.196416636906838,0.00300885033753584,-2.44708338555486
"HOXA2",3.48230340090844,5.03715661599577,1.52527683028995,1.22196768593659,4.37947238331659,3.36584971009788,1.95918014604441,4.53805971203092,3.96824936488807,6.21678780799301,2.29418542784077,5.15236189884679,5.90421423698652,4.10421684576299,6.47080141892712,7.17557795114652,4.9018827363272,5.4729871576404,6.38762651701561,7.10726435675583,8.3582541202019,5.87125661890291
"HOXA5",3.2852943541314,7.52340735042476,3.43866955154501,3.07599280473019,4.99527093199502,4.19648608165686,5.02041537608617,7.1392500274644,6.80223330412332,7.97022686037875,5.43517081200498,7.12837503968858,8.4088853108891,5.47204734143346,9.47724090849024,8.4352396092786,7.47796924277911,9.49902236930664,5.91441834317199,9.70294351501254,8.11610955231543,7.61850080869765
"ALG12",3.82997682540171,4.37309530638103,3.20726267240751,3.89896611178912,1.55435968590475,2.36018452744374,2.75873809080149,3.69965273869308,3.33814433789291,4.40777242597799,4.934902175076,4.19904312093496,5.11171180802775,3.84849870634468,5.28753897911961,4.13208436241794,4.53700186012892,4.07619488027205,3.68858897859133,4.14193131640185,4.72527650171368,4.58483186680542
"FCGR3A",4.29963564621182,3.47750311195749,3.71437417036564,2.2031966796933,5.56285338487688,3.95672552012133,3.80180675544657,4.85767462390602,5.28023692317044,5.82975260875544,7.439240084273,4.97854009105637,6.90751266021435,6.16591639581513,6.46841058665737,6.1046774819296,4.80655884099605,4.99682479263891,4.22082583811138,5.58662495511428,5.37003148279046,7.02160290263515
